GeneIDs	lcountsRep1	lcountsRep2	lcountsRep3	lcountsRep4	lcountsRep5	lcountsRep6	mean
NM_001024475	5	3	2	5	7	2	4
NM_001024476	10	10	10	3	9	10	8.666666667
NM_001024477	0	0	0	0	0	0	0
NM_001024479	15	19	4	20	15	17	15
NM_001024480	14	16	13	14	6	15	13
NM_001024482	1	1	0	2	1	0	0.833333333
NM_001024483	17	19	12	12	12	21	15.5
NM_001024484	7	9	8	9	10	6	8.166666667
NM_001024485	9	10	9	14	11	8	10.16666667
NM_001024486	0	0	0	0	0	0	0
NM_001024487	14	14	14	12	14	15	13.83333333
NM_001024488	48	49	35	46	41	43	43.66666667
NM_001024490	0	0	0	0	0	0	0
NM_001024491	1	3	1	2	0	0	1.166666667
NM_001024492	0	0	0	0	0	0	0
NM_001024493	0	0	0	0	0	0	0
NM_001024494	1	1	0	1	0	0	0.5
NM_001024496	3	2	2	1	5	2	2.5
NM_001024497	6	2	8	5	4	1	4.333333333
NM_001024499	29	32	31	28	27	28	29.16666667
NM_001024500	11	16	10	14	13	11	12.5
NM_001024502	1	1	2	1	3	0	1.333333333
NM_001024503	1	0	2	1	0	0	0.666666667
NM_001024505	15	13	15	16	14	15	14.66666667
NM_001024506	15	15	15	18	12	7	13.66666667
NM_001024509	48	47	42	43	34	51	44.16666667
NM_001024511	15	12	11	7	17	14	12.66666667
NM_001024513	9	9	6	9	12	8	8.833333333
NM_001024514	15	20	16	17	7	18	15.5
NM_001024516	6	8	9	6	3	13	7.5
NM_001024517	5	5	6	3	4	4	4.5
NM_001024518	0	0	0	0	0	0	0
NM_001024519	0	0	0	0	0	0	0
NM_001024520	0	0	0	0	0	0	0
NM_001024521	30	33	30	33	38	32	32.66666667
NM_001024522	0	0	0	0	0	0	0
NM_001024523	36	29	38	31	38	26	33
NM_001024524	1	2	1	0	1	2	1.166666667
NM_001024525	5	5	9	5	1	4	4.833333333
NM_001024527	4	7	9	5	3	3	5.166666667
NM_001024529	21	19	24	15	24	17	20
NM_001024530	6	7	8	9	8	11	8.166666667
NM_001024531	26	35	21	25	16	31	25.66666667
NM_001024532	26	19	25	26	26	24	24.33333333
NM_001024533	1	1	0	4	1	1	1.333333333
NM_001024534	0	0	0	0	0	0	0
NM_001024536	1	1	1	0	1	0	0.666666667
NM_001024538	15	10	20	15	16	20	16
NM_001024540	18	17	26	17	22	21	20.16666667
NM_001024541	164	154	147	179	142	164	158.3333333
NM_001024545	5	5	6	3	7	2	4.666666667
NM_001024546	20	24	19	22	20	23	21.33333333
NM_001024548	0	0	0	0	0	0	0
NM_001024549	0	0	0	0	0	0	0
NM_001024550	44	46	55	40	38	42	44.16666667
NM_001024551	0	0	0	0	0	0	0
NM_001024552	1	4	2	1	1	1	1.666666667
NM_001024554	20	23	31	25	21	23	23.83333333
